,repo_id,commit_id,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,max_file_depth_diff,bucket
927,folioreader_folioreader-android,aea8bd6cfa3d11b539466484106756f5668b7974,1428510484,"up
",2946dd697e86e1d242df10ba901b52ab77e4f031,13,0,0,0,13,"3,0,0,0,0,0,6,0,0,1,6",11,16,10.0,0
1002,gliderlabs_registrator,e2677212c2d851e64581286e4c8e99ec9ba8fead,1424281983,"overhaul of build/release system, modeled after logspout overhaul
",ee8720d50ab6677ca6e4932cfc1e03a040cbdbd6,4,215,0,0,219,"15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",1,15,-16.0,0
1375,migomiddle_xms,329d965cf88508daa951d1a925a2bc8ee95c556e,1574228833,"init
",75cf034faac76dbfe83b0951cc71616a8f35ceb8,16706,0,0,0,16706,"3,0,59,1233,1262,978,8062,962,1072,951,627,267,310,439,447,36",16,16708,15.0,0
2288,azure_azure-stream-analytics,84ce2ecb67bf8c2e46afb4c40f01f9926eb124be,1430261222,"adding SensorDataAnalytics Sample
",d75611a7abe3c36d18c9ad1569cb3630f8816713,526,0,0,0,526,"2,9,1,29,15,29,166,234,8,26,4,14,0",12,537,10.0,0
4118,plasmoapp_plasmo-voice,ed2da1cc77fab8083efccdacd7606fbaf35f376e,1658830274,"feat(common-api): addons
",48de31379e29990a05a5e06934caa791a2930ded,8,0,0,0,8,"6,1,2,0,0,0,0,1,0,0,3,2,2,0,0,0",13,17,10.0,0
4955,qist_tvbox,fcbdcfd1cb2fe73932cec1eb01f1e180c258bdf3,1661302519,"更新 '{""key"":""csp_XYQBiu_短视频"",""name"":""分享短视频(YXQ)"",""type"":3,""api"":""csp_XYQBiu"",""searchable"":1,""quickSearch"":1,""filterable"":0,""jar"":""https://gitea.com/hongdeng98/TVBox/raw/branch/main/jar/XYQBiu.jar"",""ext"":""https://gitea.com/hongdeng98/TVBox/raw/branch/main/XYQB/分享短视频.json""}0823.json'
",1fe2b7b6242c95ef0f07f88ed2e32f552fd30448,0,0,2,0,2,"14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1",17,24,15.0,0
4956,qist_tvbox,d9cb84f70c851330cbb942111c2c2e4e966596bc,1661302879,"删除 '{""key"":""csp_XYQBiu_短视频"",""name"":""分享短视频(YXQ)"",""type"":3,""api"":""csp_XYQBiu"",""searchable"":1,""quickSearch"":1,""filterable"":0,""jar"":""https:/gitea.com/hongdeng98/TVBox/raw/branch/main/jar/XYQBiu.jar"",""ext"":""https:/gitea.com/hongdeng98/TVBox/raw/branch/main/XYQB/分享短视频.json""}0823.json'
",fcbdcfd1cb2fe73932cec1eb01f1e180c258bdf3,0,2,0,0,2,"14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",2,23,-15.0,0
6665,aws-samples_lambda-refarch-webapp,3c739d142adaf3fbc6516d3e33ec83885370aa6e,1443969310,"Added source for Lambda functions
",b63610ae7f794df4f1da253b404d20110967fa05,879,0,0,0,879,"9,0,3,0,19,158,123,79,109,66,109,31,167,2,13",15,888,14.0,0
6667,aws-samples_lambda-refarch-webapp,0c494f6726e13cef8fb69c2c922fc5a1766f4bf1,1444051513,"Removing node_modules to avoid nesting issues
",6bbd1f8ed425094e8caa13209d1cd8d14f268dff,2,876,0,0,878,"11,0,4,0,0,0,0,0,0,0,0,0,0,0,0",3,15,-12.0,0
27741,awslabs_aws-sdk-net-samples,d1da2c3def6dc6e5bf7cb655b999aa4558dc5581,1444112139,"Add content from AWS re:Invent talk on ASP.NET 5 development and hosting
",68cb6962c163a52bcb4740f96a868e763618323f,3128,0,0,0,3128,"3,1,31,107,85,102,52,64,100,331,292,559,216,649,78,380,69,184,50,24,3,1,0",22,3381,15.0,0
