repo_id,commit_id,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,repo_id,bucket,max_file_depth_diff,95%
miguelmota_streamhut,dad2b6d7c2573c1620cee5f16bf80425fd082912,1415005841,"initial
",,5555,0,0,0,5555,"9,1,165,200,510,458,846,516,983,447,569,253,254,139,188,16,1",17,5555,miguelmota_streamhut,58,17.0,12.0
newrelic_sidecar,729d82356e608dabf6bbae0bb926629a09336849,1449205111,"Vendor the world.
",d66fbbc15ac93f5cd43cc1fd7447c362bff999b6,567,0,0,0,567,"12,25,1,0,0,0,184,132,125,69,19,10,2,0,0,10,13",17,602,newrelic_sidecar,15,15.0,12.0
tangkuo_his,1dd4c884bef50f372937125c910156fefe52e52d,1562860003,"添加HIS-app
",12a7bd739a49df3e0ed5057b5d43915ff840231a,3371,0,0,0,3371,"4,8,102,642,229,71,4,29,13,61,216,536,1117,314,29",15,3375,tangkuo_his,59,14.0,15.0
apache_flink-statefun,0968a28162b03bcc922385e679f211da4e3a782c,1579887272,"Migrate the internal repository

This commit squashes individual commits from the internal repository

Co-authored-by: Tzu-Li (Gordon) Tai <tzulitai@apache.org>
Co-authored-by: Seth Wiesman <sjwiesman@gmail.com>
Co-authored-by: Konstantin Knauf <knauf.konstantin@gmail.com>
Co-authored-by: morsapaes <marta.paes.moreira@gmail.com>
",00019786dd257ab091744bed9f6c5f988b5e8df2,440,0,0,0,440,"4,12,28,29,14,6,2,7,19,38,54,159,45,16,8,0",15,441,apache_flink-statefun,26,14.0,15.0
blankj_androidutilcode,5cada7efa7e7503b4f1ed3f27aaabd532b463013,1551096857,"Merge pull request #843 from Blankj/1.23.5

1.23.5","64fa78a278f9b413fad571985986df8fd0017db4,a799db29b1ac8239ce054c24592402a804574c97",10404,0,0,1,10405,"14,20,30,0,10,1,124,19,1,119,25,63,0,2097,1556,3952,1418,878,269,81,92,41,6",23,10816,blankj_androidutilcode,4,11.0,15.0
buttercam_sisyphus,276ab47a0924e29ae4e59fe0f9230a0c99a99203,1589692996,"🎉Initial commit for sisyphus project
",,463,0,0,0,463,"4,4,23,0,4,5,11,47,3,107,154,71,17,13,0",14,463,buttercam_sisyphus,17,14.0,13.0
containersolutions_externalsecret-operator,bb2527c0f83a267a4d3affa253bf2241cc40513c,1533310712,"INITIAL COMMIT
",,6804,0,0,0,6804,"3,5,7,65,742,2279,1982,983,527,123,70,18,0,0,0,0",12,6804,containersolutions_externalsecret-operator,36,12.0,12.0
containersolutions_externalsecret-operator,f3183c2f0d157351cc7439f9cf859678f1f41d4b,1553783644,"Merge pull request #9 from ContainerSolutions/update-operator-sdk

Update operator sdk","859992f242d1173bf8c354cd50e906828bf791e8,38513d3971790f2d0ca2fc2a27d7139a5083d141",10250,11,4,1,10266,"6,8,16,152,852,2414,2502,1429,1973,473,302,129,5,3,2,3",16,10269,containersolutions_externalsecret-operator,36,11.0,12.0
dropbox_dbx_build_tools,062b7ced7133a905f0db351ab8cd4e3c5733b30f,1576028387,"Update from Dropbox.

GitOrigin-RevId: 7aab909583470e1a1b512f5f9ee39ac661da5383
",,4860,0,0,0,4860,"6,24,158,39,87,284,1714,1260,652,346,136,48,71,1,2,5,3,10,14",19,4860,dropbox_dbx_build_tools,74,19.0,12.0
eclipse_jkube,ec4d78fc942de89fde69cd33a24644074514fa88,1567680580,"Initial commit
",,1083,0,0,0,1083,"2,11,22,14,3,148,140,103,69,74,112,147,77,35,74,30,21,1,0",18,1083,eclipse_jkube,49,18.0,15.0
liquidplayer_liquidcore,4bdffef9ccdbd661912647ca7b6386ff7bc5f32a,1474857928,"Added node as a dependency
",56782de554003ffc0a48d4e8fbcd96eb80962e57,19031,0,206,0,19237,"7,11,40,237,1865,1092,6632,6072,1293,418,293,71,328,58,138,112,282,284,102,0,0",19,19335,liquidplayer_liquidcore,36,11.0,12.0
modernizr_modernizr,fa31361b7b23dc688f0f649cd9e416289e6ced8c,1359157551,"Merge pull request #794 from SlexAxton/3pre

Merge 3pre into master - feels good man","f5abc76971df265b256da81cbbaefd7493a63e41,7270c43d8b4ef4817e972989bdd556bbfaf21440",5967,23,83,2,6075,"13,106,196,97,251,161,599,431,503,2526,401,213,366,133,26,45,3,0,80",19,6150,modernizr_modernizr,41,15.0,10.0
skyd666_raca-android,0dabecfb3baabe49e55526bfdff39b56a23957d6,1677773483,"[feature]实现基本功能；导入导出数据等
",,98,0,0,0,98,"6,3,0,2,0,18,0,3,14,23,13,6,10,0,0",13,98,skyd666_raca-android,38,13.0,13.0
iamr0s_installerx,cc176d657134166c54a011747c4cf2906f4b3bd2,1679735226,"first commit
",550f3043164c1fa59625ff25d71ad6dc71944935,331,0,0,0,331,"7,5,2,3,0,78,4,18,11,8,48,50,47,28,23",15,332,iamr0s_installerx,29,14.0,13.0
lakesoul-io_lakesoul,555ad0836ecba8c4f2eeef5b64bfe73baf68222b,1640705404,"first commit
",,170,0,0,0,170,"6,3,4,5,0,1,0,21,22,85,3,5,3,8,4,0",15,170,lakesoul-io_lakesoul,0,15.0,15.0
openbmc_openbmc,21f9b84b4b729fbd7acbd465e7a3f726e4d20f91,1442346089,"Merge commit 'c124f4f2e04dca16a428a76c89677328bc7bf908' as 'yocto-poky'
","101cef31e2bf54c678501155cd2106251acbd076,c124f4f2e04dca16a428a76c89677328bc7bf908",5178,0,0,0,5178,"14,7,73,395,1621,2374,396,124,32,3,76,71,6,0,0,0,0,0,0,0,0",13,5192,openbmc_openbmc,40,12.0,9.0
orckestra_c1-cms-foundation,ceeb8afc1a2cd7066ddae8e9fbd8a841b43258d9,1277373068,"Reorganizing source folders to ""Public"", ""Internal"" and ""Premium""",,9116,0,0,0,9116,"0,68,590,867,478,1252,4494,296,232,414,377,27,21,0,0",13,9116,orckestra_c1-cms-foundation,60,13.0,10.0
passbolt_mobile-passbolt-android,b25c2e6ff0e9ce7d6cde0600225ecb8b882d1ea9,1617702355,"Merge branch 'feture/init_android_project' into 'develop'

[PAS-7][PAS-8] Setup repository and CI

See merge request miquido/passbolt/passbolt-android!2","a8b8af5a9cb77fa9b1e6611a97dd81de9190522f,8158a70846eb1d0ee4063d3c7ad9c6428cc2673d",102,0,0,0,102,"10,16,22,1,4,19,2,0,4,0,0,12,13,0,0,0",13,103,passbolt_mobile-passbolt-android,60,12.0,13.0
siddhi-io_siddhi,f7c0792c6e3c40a4dcd3aa9014d85c357e809235,1398083387,"adding siddhi 3.0.0
",cb16d5ff1a90f91074a8116f53461bf7e30cbbd4,572,0,0,0,572,"5,0,9,6,2,3,0,0,3,1,103,129,110,175,29,0",15,575,siddhi-io_siddhi,37,14.0,15.0
siddhi-io_siddhi,0462523b80436c8e0483d657e22b219b3bf50723,1409811047,"adding siddhi-query-api & siddhi-query-compiler
",1a2bc4402f1e9854116fb02909a11194da918614,97,0,0,0,97,"4,0,2,0,0,3,0,0,0,0,15,20,27,2,28,0",15,101,siddhi-io_siddhi,37,14.0,15.0
tkestack_gpu-manager,cb32733cb219e8f2db755525c2f2e8738dfe07e4,1572951390,"Init commit

Signed-off-by: mYmNeo <thomassong2012@gmail.com>
",,27408,0,0,0,27408,"8,13,17,182,1877,5215,8233,4441,2734,1461,1414,996,528,87,109,84,5,4",18,27408,tkestack_gpu-manager,54,18.0,12.0
doclever_doclever,489781b12129229007e5e18c75ed02d8c0945851,1488726917,"add
",,12688,0,0,0,12688,"1,10,426,4110,3906,2767,1131,259,70,4,3,1,0,0,0",12,12688,doclever_doclever,46,12.0,10.0
eclipse-ee4j_jersey,12a057315292a624ceb31b58bd04eec3cb19a819,1524671403,"Initial Contribution

Signed-off-by: Jan Supol <jan.supol@oracle.com>
",,4925,0,0,0,4925,"6,22,232,138,110,48,78,145,268,592,885,688,1258,217,187,43,8",17,4925,eclipse-ee4j_jersey,71,17.0,15.0
effectivemade_labs-office-elevator,01cb7b5c767361271af6acc0fc07e4e88b1b4c3e,1670151133,"- Initial commit
",,139,0,0,0,139,"1,22,4,10,3,8,15,6,6,4,8,42,5,5,0,0,0",14,139,effectivemade_labs-office-elevator,67,14.0,13.0
ouchadam_small-talk,c78d24a45815b556be64198b7579a6aed4b9092a,1645998494,"initial commit
",,383,0,0,0,383,"8,11,26,16,11,28,11,25,16,84,60,20,37,30,0,0",14,383,ouchadam_small-talk,14,14.0,13.0
qist_tvbox,fcbdcfd1cb2fe73932cec1eb01f1e180c258bdf3,1661302519,"更新 '{""key"":""csp_XYQBiu_短视频"",""name"":""分享短视频(YXQ)"",""type"":3,""api"":""csp_XYQBiu"",""searchable"":1,""quickSearch"":1,""filterable"":0,""jar"":""https://gitea.com/hongdeng98/TVBox/raw/branch/main/jar/XYQBiu.jar"",""ext"":""https://gitea.com/hongdeng98/TVBox/raw/branch/main/XYQB/分享短视频.json""}0823.json'
",1fe2b7b6242c95ef0f07f88ed2e32f552fd30448,0,0,2,0,2,"14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1",17,24,qist_tvbox,0,15.0,10.0
senbox-org_s1tbx,efe4181090d7897ae48bd189c94161583a59573d,1347645466,,f66f0419dc7883ba1a290983f3bf02fc69fa09b3,6114,0,0,0,6114,"16,28,34,60,88,91,248,341,510,584,1730,1611,533,218,17,5",16,6114,senbox-org_s1tbx,72,16.0,15.0
shopware5_shopware,9ddb4f25818f0d447198be1d18aa17d0bf0d0a5f,1346147625,"#NTR - Fixed shorttag

",,11713,0,0,0,11713,"7,9,469,234,1566,3207,2238,631,1529,1476,269,76,2,0,0,0",13,11713,shopware5_shopware,59,13.0,11.0
tencent_tencentkona-11,3d9467a9486cab0f73713adb21b7feaade00997e,1196814525,"Added tag jdk7-b24 for changeset 06bc494ca11e
",77c86a964655e3586a404d3e0803bd8cd6dbbc01,9,0,0,0,9,"7,46,60,193,1085,4364,5574,6067,3122,1486,2209,2164,1292,357,39,0",15,28065,tencent_tencentkona-11,4,12.0,15.0
wjp-letgo_letgo,8cda24433c6ce9b4fedeb31d85b5ba86b4da9f32,1669293787,"first commit
",,4106,0,0,0,4106,"7,26,83,50,253,1217,970,634,496,195,53,110,3,5,3,1",16,4106,wjp-letgo_letgo,62,16.0,12.0
afkt_devcomponent,0395041e60d484508f95046e249a127a7ade29f0,1659284264,"Update README.md
",b2a23a106b7aeb8ff16938e46e0affb4e37bccee,394,0,0,0,394,"11,3,22,38,72,8,42,56,29,27,8,40,40,11,0,0",14,407,afkt_devcomponent,72,11.0,13.0
aws-samples_lambda-refarch-webapp,3c739d142adaf3fbc6516d3e33ec83885370aa6e,1443969310,"Added source for Lambda functions
",b63610ae7f794df4f1da253b404d20110967fa05,879,0,0,0,879,"9,0,3,0,19,158,123,79,109,66,109,31,167,2,13",15,888,aws-samples_lambda-refarch-webapp,0,14.0,10.0
mapasculturais_mapasculturais,917c0cc5ea17cb8961efe7486eccb9d450d3c8cd,1392845819,"first commit
",,388,0,0,0,388,"2,17,1,5,13,13,70,148,34,8,14,37,7,19,0",14,388,mapasculturais_mapasculturais,37,14.0,11.0
openebs_node-disk-manager,29aeebf303508309f773a376d0f82cae5a367958,1520922741,"Merge pull request #2 from pawanpraka1/master

initial repo checkin","b39850e97cd908ccf63167dec5f6f056065fc10e,1184788b3b69313a635c146cd50e85a7603261d2",5495,0,0,0,5495,"3,2,0,65,568,1648,1752,806,470,104,60,18,0,0,0,0,0,0",12,5496,openebs_node-disk-manager,63,11.0,12.0
openfaas_faas-cli,c4ab2b973ba703266295198ca7a266d41d16a4c7,1498217649,"Add vendoring:
",9981b7f622bc17df42469dbe67f2fa3e4c54c22d,7329,0,0,0,7329,"15,1,19,23,18,39,102,32,3,266,1639,1086,1036,1332,1097,502,134,22",18,7366,openfaas_faas-cli,11,14.0,12.0
openfaas_faas-cli,660bdbc7af7d849a41e6bc1dba456564639999b1,1503251811,"Replace glide with vndr

This commit replaces the current `glide.yaml` and `glide.lock` replacing
them with `vendor.conf` pinned to the same git shas.

This is to bring dependency management in the cli into line with that
used in the main project.

Signed-off-by: John McCabe <john@johnmccabe.net>
",d9b4239a549df9fffc962209c7c44ef40bebc594,1,2,0,0,3,"18,3,32,29,18,39,102,32,3,266,1639,1086,1036,1332,1097,502,134,22",18,7390,openfaas_faas-cli,11,11.0,12.0
openppl-public_ppl.nn,ac23e5eb518039536f1ef39b43c63d6bda900e77,1625059953,"initial commit
",,1612,0,0,0,1612,"7,13,39,18,93,182,119,311,345,71,10,111,146,67,80,0",15,1612,openppl-public_ppl.nn,24,15.0,12.0
zwl568633995_xposed-douyin,eff7849ffbdce4e571218cdb3a564435b213e7e7,1594881826,"x
",,2708,0,0,0,2708,"8,19,1,10,2,1599,2,75,190,179,78,2,5,28,32,81,197,166,24,10",20,2708,zwl568633995_xposed-douyin,39,20.0,13.0
alibaba_otter,2422bd8d4b5534a4b0b49af751fb2a22d91cb23a,1411456722,"init
",,1190,0,0,0,1190,"7,12,13,1,0,32,60,78,39,76,41,143,271,301,104,12",16,1190,alibaba_otter,12,16.0,15.0
arcuri82_testing_security_development_enterprise_systems,371552b850ee703a3cb43d6ed3491cd23d8ba9a7,1483472011,"""attribute module""
",6ecd07caa85f51ac5a65c864426473c2a322e483,11,0,0,0,11,"3,2,1,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0",13,14,arcuri82_testing_security_development_enterprise_systems,68,12.0,13.0
aspw-w_nightx-client,36f28b0cf2384b2cf39ad8672ca85bdbf5953d1d,1664627874,"cleanup
",,725,0,0,0,725,"11,9,3,5,0,2,12,202,84,43,253,31,57,9,4",15,725,aspw-w_nightx-client,34,15.0,13.0
eclipse-capella_capella,c0bed0d82575664ec6ba5086eac11f0e432b05e8,1415966461,"[CQ][8780] Initial commit

Change-Id: Ic0b14511c6080ce72598dd27ce018d3f7e46be4d
Signed-off-by: Joao Barata <jean.barata@thalesgroup.com>",,12168,0,0,0,12168,"2,0,0,1511,689,360,2322,141,79,119,1143,2619,2601,472,91,19",16,12168,eclipse-capella_capella,49,16.0,15.0
forgeekscn_sftnow,c9ab0d5eeae290719948cc47acb90da65dc59410,1468839926,"first commit
",,1375,0,0,0,1375,"8,7,42,231,226,259,253,25,0,0,1,74,40,109,31,0,32,11,9,9,4,4",22,1375,forgeekscn_sftnow,32,22.0,11.0
javaee_glassfish,10f9ad762f9fd07f4ccbaaa712a48d6715ae80cf,1194554095,"Moving the v2 trunk to the v2 directory.

svn path=/trunk/; revision=17529
",,25436,0,0,0,25436,"0,1,411,705,1577,2903,3424,3002,2696,2745,3161,2432,1385,806,160,28,0,0,0,0,0,0,0,0",16,25436,javaee_glassfish,64,16.0,15.0
kubernetes-csi_external-snapshotter,cc19fd383fa34c3fa7f7e2614d0f4872fe21a2c0,1534206037,"Merge pull request #6 from xing-yang/snapshot_apis

Add Snapshot APIs","36b1de034172fdcbfcb8eea1617a7fc0dd9add05,3832c9d2b0c7a92ff2613a4e19d9b872850e0f49",17732,0,0,0,17732,"11,2,1,154,903,2884,4796,3167,1535,1304,1281,926,508,83,103,79,5,4",18,17746,kubernetes-csi_external-snapshotter,3,15.0,12.0
rstudio_shiny-server,d074b8f65e93078bcf0b65dd9a3a509f921bc1bf,1349385545,"Third party node module dependencies
",43ac23a79ab62cfc6404df3e6446e65bc15621ca,407,0,0,0,407,"8,0,24,34,108,90,43,30,39,20,5,10,4,0,0,0",13,415,rstudio_shiny-server,62,12.0,10.0
concretecms_concretecms,10236caea734eeb055cd0aa18f3178bf1c6f7c0b,1217867608,"initial import

git-svn-id: http://svn.concrete5.org/svn/concrete5@1 b0551a0c-1e16-4222-a7d5-975db1aca215

Former-commit-id: f65e81cd0d6e920df0ec228211e9f4208f10fdbd",,2435,0,0,0,2435,"0,0,18,15,231,535,445,398,413,188,114,66,8,4,0,0,0,0",14,2435,concretecms_concretecms,44,14.0,11.0
eclipse_vorto,24701d5566832a6409fe4fb1d4d07889453f7948,1436325473,"Merge pull request #1 from aedelmann/master

Initial contribution","2b89cbbf9199368e26fc5dca3ee54f5e14cf6e4d,480430b651ea0b1f519fff491b3588d4d689b21f",911,0,0,0,911,"7,9,228,82,20,4,8,17,71,112,152,147,37,13,5,0,0",15,912,eclipse_vorto,76,14.0,15.0
edvince_stable-diffusion-ncnn,76f89677b0988e61de296510bbc0dc41183773a6,1668140533,"add:code
",,211,0,0,0,211,"1,1,1,11,5,0,0,20,88,63,15,6,0,0,0,0",12,211,edvince_stable-diffusion-ncnn,49,12.0,12.0
fomantic_fomantic-ui,58d39d258a2b31c9accc604afbc8a61794c5b12e,1367442340,"Fixes issue with accidental submodule


Former-commit-id: f2f2fbf22402b7bf2a808dbad20619cb212ee9ef
Former-commit-id: 1e28dcc450e2333906f61d603c1d5b1339a419e0",c42dd056e648fbf81e01d3a95b8c32f9eaf25ac2,10446,4,0,0,10450,"2,23,29,253,385,435,616,733,625,736,449,468,270,288,181,115,34,2,0,80",20,5724,fomantic_fomantic-ui,37,15.0,10.0
itoffers-online_portal,1b27f165d2bbe9a81779394075862b904d2e6a72,1548322531,"Initial commit
",,128,0,0,0,128,"3,5,16,9,5,3,34,24,17,10,2,0,0,0,0",11,128,itoffers-online_portal,70,11.0,11.0
kubernetes-retired_multi-tenancy,9165a3aad48e0096674aede6a617c8d3201d3c20,1552590270,"Merge pull request #2 from kubernetes-sigs/crd-skeleton

add tenant-controller code skeleton","c15cd0f4d4825d87d25188aa04c4e40b4d04ea48,9a8a99e8b99cd004cf2510f08249218bb978df1d",82,0,0,0,82,"9,1,6,3,1,2,4,4,9,2,4,3,0,0,0,0,0,0,0,0",12,48,kubernetes-retired_multi-tenancy,50,11.0,12.0
metasfresh_metasfresh,a9fb744b953803391a7fe52a3c3742bd74cf12c7,1444145240,"initital add
",,11923,0,0,0,11923,"0,225,489,324,58,36,371,393,4345,3018,1754,596,251,51,12,0,0,0",15,11923,metasfresh_metasfresh,1,15.0,15.0
polycube-network_polycube,0df5d815c7fd8c1352bcfcb2539bab7411776bdf,1544588464,"Initial commit
",,6678,0,0,0,6678,"16,39,31,131,374,578,90,177,581,1550,855,1265,778,185,9,16,3",17,6678,polycube-network_polycube,43,17.0,12.0
probmods_webppl,38c5bddd9bc566fb12d210f3c60ea278d81a1c8c,1407516168,"Add webppl code from esslli course
",cc64450960c4209caa0debb7efc20854284e2048,769,0,0,0,769,"4,9,72,80,89,95,91,66,42,56,19,14,19,32,2,0,80",17,770,probmods_webppl,53,16.0,10.0
remind101_conveyor,01505d73a931908fea25b6b801237538972ca8ca,1436409280,WIP.,efc588f568fbf81ce460010cb263f381bfa44c5f,199,0,0,0,199,"3,2,1,0,0,0,34,30,21,4,38,0,67,0,0,0,0",13,200,remind101_conveyor,46,12.0,12.0
schibsted_strongbox,a6acc644155bc34a39aca0cabb2ff6b314f2671b,1505310677,"Initial commit
",,242,0,0,0,242,"10,4,2,0,14,0,0,0,0,17,96,69,16,7,7",15,242,schibsted_strongbox,54,15.0,15.0
skiddermc_fdpclient,0478db95d4460872077b992713f880235143912c,1577813407,"Uploaded LiquidBounce b67
Client Version: b67
Minecraft Version: 1.8.9
Forge Version: 11.15.1.2318
Minecraft Mappings: stable_22

Changes:
-
",0efed2167a97ff6c5d890bd13d75c8aac3bd2fdd,450,0,0,0,450,"3,4,1,2,4,0,6,6,49,69,42,210,15,41,0,0,0,0,0,0",14,452,skiddermc_fdpclient,56,13.0,13.0
xiaomi_mone,5fa64a864d708b7de7c31dbf10dd94b1e34542af,1675944788,"init
",,8362,0,0,0,8362,"4,21,268,168,251,342,602,430,201,724,964,1905,1380,731,262,93,16",17,8362,xiaomi_mone,30,17.0,15.0
alibaba_terraform-provider,4c60301fb809e751dc61488bd8da5df6cccec850,1528458208,"Publish Release 1.9.4 (#494)

* Change ECS, ESS sdk to official go sdk

* Add a example to create swarm and deploy wordpress on it

* cs_kubernetes supports to output kube config and certificate

* cs_kubernetes supports output worker nodes and master nodes
",349a5dce7d02ff9b87528a0e4b6f543149753d53,17072,0,0,0,17072,"11,228,135,165,742,2404,6860,1670,2028,1863,809,86,144,215,130,31",16,17521,alibaba_terraform-provider,71,12.0,12.0
codefollower_openjdk-research,91acc04ccc7d210f912639f9f0f932688bf04ac4,1396442084,"hotspot初始代码
",a244213365a5d58d3feaa5d4b462eb9f870e23d4,2855,0,0,0,2855,"3,4,21,57,592,1578,283,14,0,17,0,13,177,98,1",15,2858,codefollower_openjdk-research,73,14.0,12.0
deeplearning4j_deeplearning4j,b5f0ec072f3fd0da566e32f82c0e43ca36553f39,1559823675,"Eclipse Migration Initial Commit
",,8119,0,0,0,8119,"10,114,211,501,263,249,668,98,235,814,1586,1293,1145,306,248,306,62,10",18,8119,deeplearning4j_deeplearning4j,22,18.0,15.0
exacttarget_fuelux,7a58684fbcfd811a6efc82106206166b11db3879,1341591829,"Add bootstrap and requirejs
",f697cec61f48cda1132f1f1fac76cad9e717b2cc,2751,0,0,0,2751,"5,8,19,130,217,297,542,475,354,267,263,90,39,43,5,11,0",16,2765,exacttarget_fuelux,67,13.0,10.0
kiwitcms_kiwi,40003d927bfc3e8be974a0c4620fa93fd7cc8c9f,1416385545,"Inital nitrate
",,1178,0,0,0,1178,"11,7,110,573,85,2,2,18,5,118,106,26,19,38,6,52",16,1178,kiwitcms_kiwi,3,16.0,9.0
microsoft_infersharp,b639e8e86e7a7df0a4f6d8d95bde06a36293fc34,1600124343,"Initial commit (#1)

",528ba9353ec6c007b344a4f21d73b78f14bc0449,2944,0,0,0,2944,"14,39,72,132,806,303,701,760,63,22,33,0,3,0,1",15,2949,microsoft_infersharp,1,14.0,10.0
openjdk_jmc,0183963e7dfbe356c1f4e5851fd86c7370b7efbd,1525347343,"5871: Initial push
",,4173,0,0,0,4173,"4,7,394,899,141,64,114,181,46,147,741,747,503,132,52,1",16,4173,openjdk_jmc,4,16.0,15.0
