,repo_id,commit_id,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,max_file_depth_diff,bucket,proj_max_file_depth,lang
5296,webreinvent_vaahcms,68a9458b5347600db1273d6a579f84928abad90f,1592989646,Merge branch 'release/v1.0.0',"e5c41e50abe6e1f0f69d46f845d1171bc24d2f22,166cb287140ef7737251f599aec37068bcafdfe3",965,649,40,3,1657,"6,8,69,65,27,5,28,4,32,149,285,199,221",13,1098,3.0,0,12,PHP
5358,wttech_gradle-aem-plugin,1972f257d8ca2a73a5005645f7961bccbfc1f6ad,1503607843,"Assembly test works
",dec21fdad95026fe6c0b0929d9c8284f887cb836,1,0,11,0,12,"8,5,2,0,0,0,0,7,63,13,6,4,0,0,0,1,4,3,3,3",20,122,1.0,0,19,Kotlin
5576,naaive_orange,8af84b0fb5a35c3d711eff7002e3037dcee85241,1642166926,"Build script
",5607fb352a64017b74c04bd7c0bdc118cd86a3ce,20,16,1070,0,1106,"3,8,22,18,5,5,7,30,673,322",10,1093,1.0,0,9,Rust
7269,pandorafms_pandorafms,08011d60b2bddef7977315b25c9c19bdc1ebc8c3,1623671803,"Merge branch 'ent-7122-nuevo-update-manager' into 'develop'

Embebed UMC in Pandora FMS

See merge request artica/pandorafms!3894","42f5727b18b7121187ce18b0cb13611a66a1799c,cdad04f9cd8e84ceb2910c759119de6e49854451",1324,5,1,0,1330,"5,79,1261,1679,2432,656,814,918,502,299,130,28,13",13,8816,2.0,0,12,PHP
7570,futurerestore_futurerestore,029e768ca3bcdeb8138f8385a008486b4ef1532d,1614217988,"Fix FDR SEP Panic and a13 iPhone 11 family devices (#3)

Rose fix. Also Add working CI Static building.",3786d4cd230b93f4b7ade7d0fdebd56b48fbf7a6,24654,0,0,0,24654,"7,7,12,4,20,466,926,14996,1146,786,2636,1203,586,230,898,308,116,62,204,46,11",21,24670,17.0,0,20,C_C++
7582,preferredai_cornac,6d0a449bc7dc3617d13f51780f000c137fddabf5,1531818918,"Created Cornac v0.1.0
",44e80a846449b4a10d4f1cb7dc227f6b09457c1f,1754,0,0,0,1754,"2,5,22,31,60,466,594,283,178,112,2",11,1755,10.0,0,10,Python
7943,thesimplecloud_simplecloud-v3,16da5aa0e5776c1fcb17fe93b7e384108f06fb37,1667909825,"implement: move api classes specific for modules into separate modules
",87b94aeb23b42c00987291211832b516b323de35,1,0,27,0,28,"10,21,19,0,1,3,0,0,28,128,221,224,80,11,2",15,748,1.0,0,14,Kotlin
7975,gurhub_surmagic,89d7e5fb968ea0012266b21d81f9716612b9cf83,1605343482,"added new demo
",50eb4e4b84c905fe2f1e1dca2d10ae0e6c99f7a1,25,0,0,0,25,"6,2,17,7,11,6,0,2,4,7",10,62,4.0,0,9,Swift
8042,kordlib_lavalink.kt,dd538a7cea5cdf2e49df06573a7b01fea773a0eb,1689436616,"Add Support for v4 and Plugins
",e6e6d8595822d1a2def0a4aea674cb516ef83f07,23,2,0,1,26,"9,21,8,0,9,6,6,7,33,20,0,0,0,4,1",15,124,5.0,0,14,Kotlin
9288,apache_flink,b18c66b5f7c59ccd1c3fe0d87cec11df16594e43,1426786256,"[FLINK-1752][streaming] Rework and improve Kafka connectors
",5c6603e2984d2e580ac105237b997e1373635762,6,0,2,2,10,"9,82,68,14,28,55,45,43,128,738,759,676,223,172,37,8",16,3085,1.0,0,15,Java
9456,apache_flink,665bcec779ef16e9ae2ba535631765d329f81392,1432817062,"[FLINK-1874] [streaming] Connectors separated into individual projects
",72828b5d25060c8d7c3e0357d53ce8a456937f0e,6,0,27,0,33,"9,41,81,61,48,63,43,47,130,797,868,677,310,242,48,2",16,3467,1.0,0,15,Java
13716,apache_flink,3fd568a635ae23e530babe26c98425266e975663,1586292991,"[FLINK-16811][jdbc] introduce row converter API to JDBCDialect

closes #11652
",989bc02518d1be05d4f2260d9c4a67098df19063,5,0,0,0,5,"9,88,597,321,891,514,153,161,332,2037,3443,2901,1645,682,300,5",16,14079,1.0,0,15,Java
14885,apache_flink,67b488d2fdb3396309e5dfe4c36eb2106aae4b0f,1608021659,"[FLINK-20515][table-planner-blink] Introduce new ExecNode base classes

This closes #14380
",0c5e8b592d4626453767018bfca231b94a195258,3,0,0,0,3,"8,79,780,383,688,691,250,239,399,2321,3941,3396,1962,846,384,8",16,16375,1.0,0,15,Java
14887,apache_flink,ddd4e3845c8facfbfef0fab4b3b38c7451497db5,1608021659,"[FLINK-20515][table-planner-blink] Make BatchExecMultipleInput extended only from BatchExecNode and port it to Java

This closes #14380
",67b488d2fdb3396309e5dfe4c36eb2106aae4b0f,1,1,0,0,2,"8,79,780,383,688,691,250,239,399,2321,3941,3396,1962,846,384,8",16,16375,1.0,0,15,Java
14890,apache_flink,6c886a4c7a3cd42ea3f965f411b2f7ed2a2f7ab3,1608021660,"[FLINK-20515][table-planner-blink] Make StreamExecMultipleInput extended only from StreamExecNode and port it to Java

This closes #14380
",ddd4e3845c8facfbfef0fab4b3b38c7451497db5,1,1,0,0,2,"8,79,780,383,688,691,250,239,399,2321,3941,3396,1962,846,384,8",16,16375,1.0,0,15,Java
17725,yangchaojiang_yjplay,ca0dabca5cb56774dc6f2df35c7f88c9c0514a03,1514170833," 上传ima module
",103726324f30ca111f06a22e31c61113fc6ea339,1289,0,0,0,1289,"15,27,4,9,7,212,20,1058,290,105,97,66,22,10,3",15,1945,3.0,0,14,C_C++
17779,maplibre_maplibre-native,41f0be34e7b981883019ba19593becafcca2928f,1608464336,"[general] moving ios and android project under ./platform folder
",8e759a51e48dc57e15876d6ac23b8fbd9e25855d,8250,8303,1557,0,18110,"16,128,264,1122,589,6187,476,493,34,20,232,148,127",13,9836,1.0,0,12,C_C++
18232,elabftw_elabftw,f1229a5bd402ff07013bde0c9eb4c02913581700,1438019736,"wip : add docblock
",5a836b4298c870afdf3e142daa9a4f868eeb8026,6702,0,0,0,6702,"28,167,180,986,1730,2686,1540,2790,920,552,138,73,21,4",14,11815,2.0,0,13,PHP
18249,elabftw_elabftw,ea8885f5bafecabae54bb639d3250c9ebab29fec,1438636359,"....
",c4a1db6d6a470c8a33db953190bfd05576d8a412,10072,0,0,0,10072,"26,163,184,963,1715,2686,1540,2789,925,554,138,73,21,4",14,11781,8.0,0,13,PHP
18251,elabftw_elabftw,0c2474ab2078cad8c58cb24c723591dcf7e2c414,1438636561,"finally fix the .git found in defuse/php-encryption causing problems
",7bce0bcbba6105c23de33e939318c8454b7d73fa,10087,0,0,0,10087,"26,163,183,970,1720,2690,1540,2789,925,554,138,73,21,4",14,11796,8.0,0,13,PHP
22084,geogebra_geogebra,5de79ec2d2992112ddde128155aa035a325f0888,1459244794,"Path fixes for JLM renderer

git-svn-id: http://dev.geogebra.org/svn/trunk/geogebra@46266 23ce0884-8a58-47d3-bc5c-ddf1cd5b9f9e
",8ddaac342d471743d3dbcf77e78ce9f12d5193e8,2,0,7,0,9,"6,17,72,43,920,132,422,401,1637,4062,2350,1264,438,104,59,99,19,1",18,12046,1.0,0,17,Java
24662,lucideus-repo_unsafe_bank,b04f55ed01ce4fc014909fc42685e3e93a95322e,1616060387,"iOS app enchancements
",c1c20eef7b51b1d9cbc845588ca6b49e5248f764,483,0,0,0,483,"4,3,23,38,42,377,137,330,138,137,22,4",12,1255,2.0,0,11,PHP
30154,sap_openui5,ec2337640ac02b39a45bbdd58629c9495fa65580,1663962880,"Merge ""[INTERNAL] sap.ui.core: Enable Text Verticalization for Libraries""","e04e73d884600f83712d7b873d0bb7264cbaee8d,7be5c2c4713cd0600b6f6c093f3d30d5fb14f725",42,0,0,0,42,"22,18,227,38,4,1089,3100,5006,7560,5898,5853,2991,1752,520,3801,803,0,6",18,38688,2.0,0,17,JavaScript
31195,eltrino_diamantedesk-application,dd803af806dfc4e7d11b02336e9131907fe4daa4,1443724201,"Add 'src/Diamante/FrontBundle/' from commit 'd59c2bdabbd3737ab9d8f83144d06d9bf5e075b0'

git-subtree-dir: src/Diamante/FrontBundle
git-subtree-mainline: 65c1f5fc6d3ce87a5a77a47567950a6af129c04b
git-subtree-split: d59c2bdabbd3737ab9d8f83144d06d9bf5e075b0
","65c1f5fc6d3ce87a5a77a47567950a6af129c04b,d59c2bdabbd3737ab9d8f83144d06d9bf5e075b0",2761,0,0,0,2761,"6,23,15,66,127,293,238,103,258,1024,450,220,10,0,0,732,8",17,3573,8.0,0,16,PHP
31670,paddlepaddle_paddleseg,c0bbed788ffb74b266ee49bca9d8d219651b663f,1676962280,"[FastDeploy] support FastDeploy for PaddleSeg (#2976)

",3586adfebdfc312dd90467261c61990e4a76c2f9,163,0,0,0,163,"11,65,621,737,354,153,23,5,47,72,0,5,8,5,4,6,2",17,2118,2.0,0,16,Python
31739,opensec-cn_kunpeng,21785dc2b21d7b44189d250ecfb250713654246c,1550750808,"update vendor fix #17
",704403b8ba110c08d674083dfb6bde9559730ba7,1033,1,0,2,1036,"6,16,80,88,807,1918,839,477,202,86,15,54,1,2,5,3,10,14",18,4623,9.0,0,17,Go
31803,shopwarelabs_sw-cli-tools,47739e2b7c6b9cd5f938b06a9d2a6908816a0d84,1474457272,"New plugin creater (#71)

* Modified plugin-generator for new plugin-system and added CLI-option for creating legacy-plugins

* Modified tests for new plugin-layout

* Fixed event in PluginTemplate

* Fixed Model-Namespace

* Added legacy-conditions

* Added registerCommands to PluginClass

* Documentation added to --legacy-Option

* Added Template for blank services.xml

* Added auto-registration of created ConsoleCommand as service

* Moved files for legacy-plugins to own LegacyDefaultFileProvider for not messing up the DefaultFileProvider

* Fixed missing ID of command-service

* #70 Removed default frontend-subscriber from plugin class and added a service definition instead

* #70 Removed unnecessary onStartDispatch-Callback

* #70 Added onStartDispatch-Callback if plugin has an API resource

* New plugin system support

* Test new plugin system

* Test legacy structure

* Fix ProcessExecuterTest

* Improve argument support and move ApiSubscriber to Subscriber namespace

* Add api subscriber to PluginCreateTest

* Add FileProviderLoader

* Add controller path generation

* Use loader via di container

* Fix --haveWidget option

* Remove instann and uninstall

* Construtor di injecton of filePorivderLoader

* Move CirteriaRequestHandler to SearchBundle namespace

* Move widget ext js file to widget namespace

* Fix code style

* Implement sorting, directory provider, elastic serach and decorator

* Remove logic from ElasticSearch and Sorting examples

* Add documentation to README.md
",65d03bc1702a1c6516ab07616c625ab35b7a74b4,79,1,43,0,123,"9,20,20,9,22,48,27,56,14,16,7,8,4",13,260,2.0,0,12,PHP
32797,http4k_http4k,9d5c73041387b06291308e865ffe5825bce0d76a,1615905170,"Refactor ApiGateway client to use connect pattern
",ff714dcb38ed246804ba327ddd34c47046001637,8,0,1,0,9,"30,26,61,110,161,116,31,342,405,131,32,16,13,1,8",15,1483,2.0,0,14,Kotlin
33538,tastejs_todomvc,40f936b71a05c6a941068789f3bb680a3a820b9b,1546524885,"App update: update typescript and react 


",94ff67e8d0f2c860f956e37e87d1b3bfb1221dc3,2527,7,0,0,2534,"28,38,420,380,1363,1013,737,301,88,43,20,8,3",13,4442,3.0,0,12,JavaScript
35274,xwiki_xwiki-platform,40f239f8d64e8627d01f0b2019df8c248d8629d4,1371549556,"Merge branch 'master', remote-tracking branch 'origin' into feature-resource-and-wiki-modules
","7c519317010caea35c477fca1b474b49773778fe,ce6f0733dc3442a9e0bd900dee89e839e66370f1",10,0,16,1,27,"3,2,94,166,58,70,287,693,1343,1670,913,862,607,492,315,45,1",17,7621,1.0,0,16,Java
37118,xwiki_xwiki-platform,3772d5bf51cc587c227683a59a702099570362be,1686840808,"XWIKI-20967: List security issues in the wiki (#2214)

",b9ac1cdc146b1d4e5df528cb8fe95b99280d0ec5,62,0,0,0,62,"10,8,126,338,251,138,498,1574,950,3232,1720,1647,1337,642,186,18,8",17,12683,1.0,0,16,Java
37863,pjsip_pjproject,f70c966edd01094ae7edf30345c1266e86f8e21f,1482122915,"Re #1986: Convert pjsua2 sample app Android project from Eclipse to Android Studio.



git-svn-id: https://svn.pjsip.org/repos/pjproject/trunk@5502 74dad513-b988-da41-8d7b-12977e46ad98
",f4e3ed6a2e79660023da7a4e758c690c69af241f,9,8,23,0,40,"29,66,387,1402,196,70,71,54,6,0,19,2,0,3",14,2305,3.0,0,13,C_C++
37954,wildhoney_magento-on-angular,9e6e0074dd2d24df2bbf59c4239490fe79382d4a,1375821073,"Added Magento. Fixes #1
",1e2c4912765bdc368c35b6756ad610515ce7ca0b,12501,0,1,0,12502,"2,15,30,229,1076,1849,1852,1672,2034,1560,1021,743,293,104,17,5",16,12502,15.0,0,15,PHP
38099,entropy-cloud_nop-entropy,ef5086e2eb3f267110c4b3cf7e13b6b0b9c99c2d,1678203352,"正式提交
",dada6e2367f910c2f258b2b4360c4b8bf4a5e607,6188,1,42,0,6231,"8,84,178,131,66,36,86,382,1734,2018,1430,219,19,4,21,19,8",17,6443,3.0,0,16,Java
38819,mediadrop_mediadrop,2839037b6166d32aacccd8c677a51e3f36b77416,1266554782,"Add the TinyMCE Editor source code. CSS/Images/JS are all in the public/scripts/
directory
",6908ca5e70d4180e2b1487741545eb97743d2b1a,244,0,0,0,244,"8,16,85,239,176,101,5,108,97,13,17",11,865,5.0,0,10,Python
39191,team-yello_yello-android,eda40b52b223e9dc6477c06b836be82245279a42,1689933088,"[MERGE] #68 -> develop

[chore/#68] 패키지명 변경","4422bfc253809c0d7537ee10dc06e41d6f31d6b6,d4ea33f6a3caad1a0e40bcaeec4f8a0a5538b31d",0,0,88,0,88,"7,16,5,4,7,276,0,10,53,47,41,32,3,4",14,505,1.0,0,13,Kotlin
39219,team-yello_yello-android,2ff56a6e10db69dc2cdcfb0cee7dbef3a1c79a01,1692751398,"[MERGE] #80, #143, #196 -> develop pull request #191 from team-yello/refactor/#80-yello-first-sprint

[FIX/#143] 투표뷰 오류 해결","fe5be07a0142f214475b8b43fd99e60d684cb0e4,9a110e053e2af86ebb72608c55d2aa4ecb6fbda2",0,0,1,0,1,"7,16,6,4,3,373,0,10,65,69,46,48,11,1",14,659,1.0,0,13,Kotlin
39503,massivemadness_squircle-ce,e919bd6ca6d5933aa9f87d67294d5e88f01764e7,1646511713,"Remove ':domain' and ':data' modules

Move their content to ':feature-core' module
",5073f87d870ec717624ee2dd4702e91336609c79,0,11,36,0,47,"12,10,139,2,40,52,191,50,2,21,67,189,77,3,7",15,862,1.0,0,14,Kotlin
39789,facebookexperimental_rust-shed,d84867e81eea463002424a0b182f3871171ac52f,1633476712,"Use auto_wire on all api objects where it's possible

Summary:
This diff uses the helper proc macro added on the previous diff to simplify the code for dozens of api objects.

Over 1000 lines deleted :)

Examples of structs that couldn't be migrated:
- Wire structs that didn't rename the fields to numbers. (e.g. WireHistoryRequest) (would need some extra migration)
- enums  (not currently supported by the proc macro)
- Wire structs that didn't map directly to their non-wire counterparts (e.g. WireSnapshotState)

I added some comments with possible future improvements, but didn't pursue them right now as they are significantly less useful than this diff itself, which covers most of the cases.

Reviewed By: ahornby

Differential Revision: D31057140

fbshipit-source-id: 88a867ba2cdfedf6a96a8ca3718508073822b962
",c5edafa7df64a1cdc46938d5a6e679e380a144b1,3,0,0,0,3,"8,0,60,293,56,1,1,1,0,0,0,3",12,423,4.0,0,11,Rust
40012,dreamexposure_discal-discord-bot,c2485a59bf4505150e3e66074f612d276c7b3418,1596052551,"Merge pull request #35 from DreamExposure/website-rewrite

Website rewrite and more","471c9dbc1ef2e56ecc7c0f471b8c663ae3b3a158,eb927e4f14b548c5484440b5727bd9f3056f277c",138,1698,86,2,1924,"10,7,0,0,21,23,52,9,55,46,77,9,22,5",14,336,1.0,0,13,Kotlin
40039,dreamexposure_discal-discord-bot,d4b0e9022125c5ea5f5120e5f214260f7face296,1620162897,"Add Event interface and start documenting shit properly
",4abc1b70d7b413d14254bf7461d1ab50d3584d27,2,0,1,0,3,"10,7,4,0,21,26,56,9,58,72,100,12,29,8",14,412,1.0,0,13,Kotlin
40643,rubylouvre_anu,04cb61f41f19689f8e06b4d0a43a814b71044bfd,1558618255,"更新去哪儿模板，按照频道切分
",bb9721d1f68bf3e57805cb917f9f1e68ceb02593,0,0,130,0,130,"16,34,62,102,170,104,55,256,117,35,0,3",12,954,1.0,0,11,JavaScript
40935,zouyaoji_vue-cesium,389d35b2cc3509f296521ed919401214a257cdc8,1681546083,"docs: :memo: updated
",175c47750e0a37abf54591c03c83435bbe3d09b3,26,0,0,0,26,"25,41,90,227,689,238,363,52,224,0,9",11,1958,2.0,0,10,JavaScript
41060,datl4g_burning-series,6b7ba821a6fc9961d451f31890846d86dcadf065,1701792908,"5.x Rework (#63)

",dbcbe102eb2340fe22fae3ae98735458d77fa449,395,300,95,0,790,"9,14,14,3,13,2,22,186,47,83,24,25,22,19,19,17,10",17,529,5.0,0,16,Kotlin
41670,quantumlib_cirq,12530f1531e5da663a6b172b1967763e08819912,1618872253,"Merge pull request #3957 from balopat/master

Modular cirq: cirq.google is extracted

- user code using cirq.google is going to get a DeprecationWarning, but otherwise will still work
- cirq will become a ""metapackage"" 
  - `pip install cirq` will install cirq, cirq-core and cirq-google 
  - `pip install cirq-google` will install cirq-core and cirq-google 
- all scripts, CI config, notebooks and release scripts have been reconfigured 
","51b56288fa9a84dff9697524da9ab0a4d57a56f5,5589c31830c41670192e13127e4dc4d2ce0d3fdb",76,40,1089,0,1205,"20,114,131,582,496,46,17,6,1,1,1",11,1415,1.0,0,10,Python
42528,forcedotcom_aura,b84ea0e47b26cd31701ddcce5fd5d296c9b557e0,1405736841,"Merging origin/john/master-pending-ckeditor-upgrade into master
","8bb8fc9e113f3fceb5ee190c43c7751cd45867d4,932926a751190fb85f61b420717a30b2e70a7144",4876,842,112,0,5830,"8,39,24,0,28,198,2482,534,971,380,338,211,3844,401,289,11,3,51",18,9812,5.0,0,17,JavaScript
46371,noear_solon,85b5d2621bca1faaaa58e10afce066fc6d6e34b7,1685103853,"调整目录结构
",45ed62148e0e3516690d67ce6eaeebf81e350018,1636,1638,1173,0,4447,"17,8,28,329,15,96,301,328,355,154,232,763,458,225,34,3",16,3346,1.0,0,15,Java
46782,srusskih_sublimejedi,787b22c72ab3b848bbe10dddecd4c9ec530dde88,1563877392,"Upgrade jedi 0.14.1 (#298)

* Bulk update Jedi

* Upgrade to jedi 0.14.1 and parso 0.5.1
",5f717aa7beeb4ebbbfedd507601998aed212b79f,1064,13,1,1,1079,"21,14,26,65,26,9,327,364,270,54,13,2",12,1191,6.0,0,11,Python
46808,taiki-e_cargo-llvm-cov,f90a55e24748806d3d20767ae10b9708753c896f,1623761410,"Merge #33

33: Ignore workspace members correctly r=taiki-e a=taiki-e

Fixes #31 

Co-authored-by: Taiki Endo <te316e89@gmail.com>
","b634bd0e26f793e1329af57b61cd985c23c13eba,3f1dc5370cafdcdf205a6923e098b0ad8d0c4594",17,0,0,0,17,"9,13,4,0,32,8,5,3,1",9,75,2.0,0,8,Rust
47028,zaproxy_community-scripts,cbae74b72a0773a408420108aa0f8bb2defbf3c6,1552473847,"Merge pull request #148 from thc202/build-add-on

Build add-on","1d30a4b90ca15627172a0830d829cc870390b419,145123f8c637394e65493dc96b61beaa0d85c120",238,0,0,0,238,"9,126,13,7,4,2,0,0,1,44,128,32,32",13,398,7.0,0,12,JavaScript
47638,team-dodn_spring-boot-kotlin-template,094656ca5fee3d5aaf3b49ddbc7861f498baa6af,1675195156,"Initial Template
",66b359e67d15027fe5641955c51c296f38bd6b25,76,0,0,0,76,"9,1,12,0,0,9,5,0,4,2,11,12,10,2",14,77,13.0,0,13,Kotlin
47656,firegento_firegento-dynamiccategory,506e3408edd93ca5351394806252264810d97e8d,1386240196,"Merge branch 'release/1.0.0'
","19dce80b504ebfc9b2c384995b4c32b363f57883,100c012ee69dcdca6eef0aa99e5e847a0935bee3",48,7,2,0,57,"6,0,2,3,33,0,0,6,8,5,4,6",12,73,1.0,0,11,PHP
47678,yoomoney_grafana-dashboard-dsl,8ced8ba26a33372292768561f8f3440eb8c14170,1568116949,"Merge pull request #6 in BACKEND-TOOLS/grafana-dashboard-dsl from feature/BACKEND-2875_new_dsl_functions to master

* commit '2e7ded1563e968887a52f9c62e9fe715a19cba38':
  BACKEND-2875 Update dsl: * New fields at `GraphPanel` class:     1. `staircase` field can be change `Staircase` display parameter on graph panel     2. `decimals` field can be change `Decimals` legend parameter that override automatic decimal precision * New functions for `metrics`:     1. `sortByTotal` sorts the list of metrics in descending order by the sum of values across the time period specified.     2. `perSecond` represents packets of metric per second if packets are higher.     3. `asPercent` represents the ratio of one metric to another as a percentage.     4. `override` accepts on `alias(...)` function and overrides parameters * New classes:     1. `HoverTooltip` overrides default Hover tooltip parameters on graph display menu
","8e7f27cbda4d182585833c115c927dbfde3062e2,2e7ded1563e968887a52f9c62e9fe715a19cba38",19,0,0,0,19,"21,1,4,0,0,0,0,0,0,3,153,47,0,8",14,237,2.0,0,13,Kotlin
47738,gchq_gaffer,de67c8b64d1806665d71a8086074acef6cfcac15,1488980226,"Merge pull request #745 from gchq/release-0.6.2

Updating master with release 0.6.2","3412e24ae11f5d07fbaa05913354c1edee091e12,00cd0b9f5e34142cad6391dcbbbef2a4fde9d1bb",110,8,34,10,162,"8,25,23,12,31,59,38,23,40,78,191,274,260,106,63,10,4,0,2",19,1247,3.0,0,18,Java
48016,bigtreetech_bigtreetech-skr-mini-e3,20cdbb285b9efc6bb0ebb668d4f926187f2ec12d,1570851875,"update latest version of Marlin 2.0
",4c54c54f425e3cacfa9a730838cc728684d03238,1785,1702,1715,0,5202,"1,0,30,32,32,78,786,2741,1005,65,184,70,24,6",14,5054,1.0,0,13,C_C++
